Field 1,DOI,Paper title,Abstract,PDF Link,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
1026,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/215/8/1247,"Process resources,Maintain structural integrity,Move,Physically assemble/disassemble","Distribute resources,Manage structural forces,Optimize shape/materials,Prevent structural failure,Active movement","Distribute gases,Distribute liquids,Manage stress/strain,Prevent buckling,Actively move through/on solids","Distribute gases,Distribute liquids,Manage compression,Move in/on solids,Optimize shape/materials,Prevent buckling",
1027,,,,,Journal of Experimental Biology (JEB),https://www.springer.com/gp/book/9780412561603,"Process resources,Maintain structural integrity,Move,Physically assemble/disassemble","Distribute resources,Manage structural forces,Optimize shape/materials,Prevent structural failure","Distribute gases,Distribute liquids,Manage stress/strain,Move through/on solids,Prevent buckling","Distribute gases,Distribute liquids,Manage compression,Move in/on solids,Optimize shape/materials,Prevent buckling",
1028,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/214/23/3960,Change size or color,Modify color,"Change chemical color/pigmentation,Change structural color",Modify light/color,
1029,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/214/22/3850,Protect from harm,Protect from non-living threats,Protect from temperature,"Maintain homeostasis,Protect from temperature",
1030,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/214/13/2215.short,Maintain structural integrity,Manage structural forces,Manage drag/turbulence,Navigate through air,
1031,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/214/13/2175,Process resources,Store resources,Store gases,"Store gases,""Capture, absorb, or filter gases""",https://naturesraincoats.com/
1032,,,,,"Journal of Experimental Biology (JEB),International Review of Cell and Molecular Biology",https://jeb.biologists.org/content/214/12/2047,Physically assemble/disassemble,Physically assemble structure,,"Chemically assemble mineral crystals,Physically assemble structure",
1033,,,,,"Journal of Experimental Biology (JEB),International Review of Cell and Molecular Biology",https://pubmed.ncbi.nlm.nih.gov/19215903/,Physically assemble/disassemble,Physically assemble structure,,"Chemically assemble mineral crystals,Physically assemble structure",
1034,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/214/6/915,"Process resources,Maintain structural integrity,Protect from harm","Expel resources,Manage structural forces,Protect from living threats","Expel liquids,Manage stress/strain,Manage impact,Protect from animals","Expel liquids,Manage compression,Manage impact,Protect from animals",
1035,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/214/5/848,"Process resources,Protect from harm","Distribute resources,Expel resources,Protect from non-living threats","Distribute liquids,Expel liquids,Protect from ice","Distribute liquids,Expel liquids,Protect from ice",
1036,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/214/4/521,"Attach,Move,Process resources","Attach permanently,Store resources,Passive movement","Store energy,Passively move through/on solids,Passively move through gases","Attach permanently,Move in/on solids,Move in/through gases,Store energy",
1037,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/23/4092,Maintain ecological community,Individual benefit,Regulate reproduction or growth,"Chemically assemble mineral crystals,Regulate reproduction or growth",
1038,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/22/3920,"Attach,Move","Attach temporarily,Active movement",Actively move through/on solids,"Attach temporarily,Move in/on solids",
1039,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/20/3457,Protect from harm,Protect from non-living threats,Protect from solids,Protect from dirt/solids,
1040,,,,,"Journal of Experimental Biology (JEB),Biological Bulletin,Bioessays,Matrix Biology",https://jeb.biologists.org/content/213/20/3416,"Change size or color,Maintain structural integrity","Change size/shape,Prevent structural failure","Prevent buckling,Prevent deformation",Modify material characteristics,
1041,,,,,"Journal of Experimental Biology (JEB),Biological Bulletin,Bioessays,Matrix Biology",https://www.journals.uchicago.edu/doi/10.2307/1543095,"Change size or color,Maintain structural integrity","Change size/shape,Prevent structural failure","Prevent buckling,Prevent deformation",Modify material characteristics,
1042,,,,,"Journal of Experimental Biology (JEB),Biological Bulletin,Bioessays,Matrix Biology",https://pubmed.ncbi.nlm.nih.gov/10441082/,"Change size or color,Maintain structural integrity","Change size/shape,Prevent structural failure","Prevent buckling,Prevent deformation",Modify material characteristics,
1043,,,,,"Journal of Experimental Biology (JEB),Biological Bulletin,Bioessays,Matrix Biology",https://onlinelibrary.wiley.com/doi/abs/10.1002/bies.20597,"Change size or color,Maintain structural integrity","Change size/shape,Prevent structural failure","Prevent buckling,Prevent deformation",Modify material characteristics,
1045,,,,,"Journal of Experimental Biology (JEB),Current Biology",https://jeb.biologists.org/content/213/19/3364,"""Sense, send, or process information""",Sense signals/environmental cues,"Sense light in the non-visible spectrum,Sense light in the visible spectrum","Sense light (non-visible spectrum) from the environment,Sense light (visible spectrum) from the environment",
1046,,,,,"Journal of Experimental Biology (JEB),Current Biology",https://www.cell.com/current-biology/fulltext/S0960-9822(12)00011-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982212000115%3Fshowall%3Dtrue,"""Sense, send, or process information""",Sense signals/environmental cues,"Sense light in the non-visible spectrum,Sense light in the visible spectrum","Sense light (non-visible spectrum) from the environment,Sense light (visible spectrum) from the environment",
1047,,,,,"Journal of Experimental Biology (JEB),The Hidden Powers of Animals: Uncovering the Secrets of Nature",https://jeb.biologists.org/content/213/17/2967,Move,Passive movement,Passively move through/on liquids,Move in/on liquids,
1048,,,,,"Journal of Experimental Biology (JEB),PLOS One,2013 MTS/IEEE Oceans",https://jeb.biologists.org/content/213/15/2665,Move,"Active movement,Passive movement","Actively move through gases,Actively move through/on liquids,Passively move through gases,Passively move through/on liquids","Move in/on liquids,Move in/through gases",
1049,,,,,"Journal of Experimental Biology (JEB),PLOS One,2013 MTS/IEEE Oceans",https://ieeexplore.ieee.org/document/6608113,Move,"Active movement,Passive movement","Actively move through/on liquids,Actively move through gases,Passively move through/on liquids,Passively move through gases","Move in/on liquids,Move in/through gases",
1050,,,,,"Journal of Experimental Biology (JEB),PLOS One,2013 MTS/IEEE Oceans",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0069872,Move,Active movement,"Move through/on liquids,Move through gases","Move in/on liquids,Move in/through gases",
1051,,,,,JEB,https://jeb.biologists.org/content/213/10/1731,"""Sense, send, or process information"",Change size or color","Send signals,Modify color","Send light signals in the visible spectrum,Change chemical color/pigmentation,Change structural color,Camouflage/mimicry","Modify light/color,Send light signals in the visible spectrum",
1052,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/10/1697,"Move,""Sense, send, or process information""","Active movement,Process signals",Respond to signals,Adapt behaviors,
1053,,,,,"Journal of Experimental Biology (JEB),Tissue and Cell",https://jeb.biologists.org/content/213/8/1235,"Process resources,Protect from harm","Distribute resources,Protect from living threats","Distribute solids,Protect from animals","Distribute solids,Protect from animals",
1054,,,,,"Journal of Experimental Biology (JEB),Tissue and Cell",https://www.sciencedirect.com/science/article/abs/pii/004081669190043S?via%3Dihub,"Process resources,Protect from harm","Distribute resources,Protect from living threats","Distribute solids,Protect from animals","Distribute solids,Protect from animals",
1055,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/7/1115,"Process resources,Attach","Capture resources,Attach temporarily",Capture solids,"""Capture, absorb, or filter organisms""",https://issuu.com/eggermont/docs/zq3/11?e=15278665/11095447
1056,,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,Journal of Experimental Biology (JEB),Scientific Reports",https://jeb.biologists.org/content/213/7/1092,"Change size or color,Physically assemble/disassemble,Protect from harm","Change size/shape,Optimize shape/materials,Protect from living threats",Protect from animals,"Modify size/shape/mass/volume,Optimize shape/materials,Protect from animals,""Capture, absorb, or filter liquids""",
1057,,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,Journal of Experimental Biology (JEB),Scientific Reports",https://jeb.biologists.org/content/213/8/1235,"Change size or color,Physically assemble/disassemble,Protect from harm","Change size/shape,Optimize shape/materials,Protect from living threats",Protect from animals,"Modify size/shape/mass/volume,Optimize shape/materials,Protect from animals,""Capture, absorb, or filter liquids""",
1058,,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,Journal of Experimental Biology (JEB),Scientific Reports",https://www.nature.com/articles/srep00131,"Change size or color,Physically assemble/disassemble,Protect from harm","Change size/shape,Optimize shape/materials,Protect from living threats",Protect from animals,"Modify size/shape/mass/volume,Optimize shape/materials,Protect from animals,""Capture, absorb, or filter liquids""",
1059,,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,Journal of Experimental Biology (JEB),Scientific Reports",https://jeb.biologists.org/content/217/8/1263,"Change size or color,Physically assemble/disassemble,Protect from harm","Change size/shape,Optimize shape/materials,Protect from living threats",Protect from animals,"Modify size/shape/mass/volume,Optimize shape/materials,Protect from animals,""Capture, absorb, or filter liquids""",
1062,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/5/673,"Attach,Process resources","Attach temporarily,Distribute resources",Distribute liquids,"Attach temporarily,Distribute liquids,""Capture, absorb, or filter organisms""",
1063,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/3/469,"Process resources,Move","Distribute resources,Active movement","Distribute energy,Actively move through gases","Distribute energy,Move in/through gases",https://issuu.com/eggermont/docs/zq_issue_10_final/8
1064,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/2/339,"Attach,Maintain structural integrity","Attach permanently,Manage structural forces","Manage impact,Manage stress/strain","Attach permanently,Manage impact,Manage tension",
1065,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/210/4/553,"Attach,Maintain structural integrity","Attach permanently,Manage structural forces","Manage impact,Manage stress/strain","Attach permanently,Manage impact,Manage tension",
1066,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/214/17/2988,"Attach,Maintain structural integrity","Attach permanently,Manage structural forces","Manage impact,Manage stress/strain","Attach permanently,Manage impact,Manage tension",
1067,,,,,"Journal of Experimental Biology (JEB),Endocrinology",https://jeb.biologists.org/content/213/2/288,Process resources,"Capture resources,Absorb and/or filter resources",Absorb and/or filter liquids,"""Capture, absorb, or filter liquids""",
1068,,,,,"Journal of Experimental Biology (JEB),Endocrinology",https://academic.oup.com/endo/article/144/9/4087/2502519,Process resources,"Capture resources,Absorb and/or filter resources",Absorb and/or filter liquids,"""Capture, absorb, or filter liquids""",
1069,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/212/24/4010,"""Sense, send, or process information""",Sense signals/environmental cues,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,
1070,,,,,"Journal of Experimental Biology (JEB),Science",https://jeb.biologists.org/content/212/24/4002,"Protect from harm,Chemically modify or Change energy state","Protect from living threats,Change energy state","Protect from animals,Modify/convert mechanical energy","Protect from animals,Transform mechanical energy,""Capture, absorb, or filter organisms""",
1071,,,,,"Journal of Experimental Biology (JEB),Science",https://jeb.biologists.org/content/208/19/3655,"Protect from harm,Chemically modify or Change energy state","Protect from living threats,Change energy state","Protect from animals,Modify/convert mechanical energy","Protect from animals,Transform mechanical energy,""Capture, absorb, or filter organisms""",
1072,,,,,"Journal of Experimental Biology (JEB),Science",https://science.sciencemag.org/content/289/5487/2114,"Protect from harm,Chemically modify or Change energy state","Protect from living threats,Change energy state","Protect from animals,Modify/convert mechanical energy","Protect from animals,Transform mechanical energy,""Capture, absorb, or filter organisms""",
1073,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/212/21/3448,Protect from harm,Protect from non-living threats,Protect from temperature,Protect from temperature,https://passel2.unl.edu/view/lesson/c242ac4fbaaf
1074,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/212/21/3440,"Protect from harm,Move,Maintain structural integrity","Protect from non-living threats,Active movement,Manage structural forces","Protect from temperature,Move through/on liquids,Manage stress/strain",Maintain homeostasis,
1075,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/212/21/3440,Maintain structural integrity,Manage structural forces,Manage stress/strain,Manage compression,
1076,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/212/19/3184,Attach,Attach permanently,,"Attach permanently,""Capture, absorb, or filter organisms""",https://jeb.biologists.org/content/212/19/ii.2
1077,,,,,"Journal of Experimental Biology (JEB),Physical Review Letters,Mycologia",https://jeb.biologists.org/content/212/17/2835,Process resources,Distribute resources,Distribute solids,"Distribute solids,""Capture, absorb, or filter liquids""",
1078,,,,,"Journal of Experimental Biology (JEB),Physical Review Letters,Mycologia",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.103.184501,Process resources,Distribute resources,Distribute solids,"Distribute solids,""Capture, absorb, or filter liquids""",
1079,,,,,"Journal of Experimental Biology (JEB),Physical Review Letters,Mycologia",https://pubmed.ncbi.nlm.nih.gov/16457355/,Process resources,Distribute resources,Distribute solids,"Distribute solids,""Capture, absorb, or filter liquids""",
1080,,,,,"Journal of Experimental Biology (JEB),Zoology",https://jeb.biologists.org/content/212/13/1990,"Maintain structural integrity,Protect from harm","Manage structural forces,Prevent structural failure,Protect from non-living threats","Manage impact,Prevent fracture/rupture,Protect from excess liquids","Manage impact,Modify material characteristics,Prevent fracture/rupture,Protect from excess liquids",http://www.nbcnews.com/id/33794565/ns/technology_and_science-science/t/spider-silk-used-artificial-muscle/
1081,,,,,"Journal of Experimental Biology (JEB),Zoology",https://www.sciencedirect.com/science/article/abs/pii/S0944200609000282?via%3Dihub,"Maintain structural integrity,Protect from harm","Manage structural forces,Prevent structural failure,Protect from non-living threats","Manage impact,Prevent fracture/rupture,Protect from excess liquids","Manage impact,Modify material characteristics,Prevent fracture/rupture,Protect from excess liquids",http://www.nbcnews.com/id/33794565/ns/technology_and_science-science/t/spider-silk-used-artificial-muscle/
1082,,,,,"Journal of Experimental Biology (JEB),Zoology",https://jeb.biologists.org/content/212/13/1981,"Maintain structural integrity,Protect from harm","Manage structural forces,Prevent structural failure,Protect from non-living threats","Manage impact,Prevent fracture/rupture,Protect from excess liquids","Manage impact,Modify material characteristics,Prevent fracture/rupture,Protect from excess liquids",http://www.nbcnews.com/id/33794565/ns/technology_and_science-science/t/spider-silk-used-artificial-muscle/
1083,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/212/3/429,Protect from harm,Protect from non-living threats,Protect from temperature,Protect from temperature,
1084,,,,,"Journal of Experimental Biology (JEB),Nature,Journal of Phycology",https://jeb.biologists.org/content/211/21/3421,Maintain structural integrity,Manage structural forces,"Manage shear,Manage stress/strain","Manage shear,Manage tension",
1085,,,,,"Journal of Experimental Biology (JEB),Nature,Journal of Phycology",https://www.nature.com/articles/503345a,Maintain structural integrity,Manage structural forces,"Manage shear,Manage stress/strain","Manage shear,Manage tension",
1086,,,,,"Journal of Experimental Biology (JEB),Nature,Journal of Phycology",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1529-8817.2010.00828.x,Maintain structural integrity,Manage structural forces,"Manage shear,Manage stress/strain","Manage shear,Manage tension",
1087,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/210/19/3319,Maintain structural integrity,Manage structural forces,"Manage stress/strain,Manage impact","Manage compression,Manage impact,Manage tension",
1088,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/210/17/3075,"Protect from harm,Change size or color","Protect from living threats,Modify color","Protect from animals,Change chemical color/pigmentation","Modify light/color,Protect from animals",
1089,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/210/15/2593,Move,Passive movement,Passively move through gases,Move in/through gases,
1090,,,,,"Journal of Experimental Biology (JEB),Proceedings of the Royal Society B,Journal of Anatomy",https://jeb.biologists.org/content/210/14/2548,Move,Active movement,Actively move through/on solids,Move in/on solids,https://jeb.biologists.org/content/210/8/i.1
1091,,,,,"Journal of Experimental Biology (JEB),Proceedings of the Royal Society B,Journal of Anatomy",https://jeb.biologists.org/content/210/8/1378,Move,Active movement,Actively move through/on solids,Move in/on solids,https://jeb.biologists.org/content/210/8/i.1
1092,,,,,"Journal of Experimental Biology (JEB),Proceedings of the Royal Society B,Journal of Anatomy",https://royalsocietypublishing.org/doi/10.1098/rspb.2004.2702,Move,Active movement,Actively move through/on solids,Move in/on solids,https://jeb.biologists.org/content/210/8/i.1
1093,,,,,"Journal of Experimental Biology (JEB),Proceedings of the Royal Society B,Journal of Anatomy",https://onlinelibrary.wiley.com/doi/full/10.1111/j.1469-7580.2007.00762.x,Move,Active movement,Actively move through/on solids,Move in/on solids,https://jeb.biologists.org/content/210/8/i.1
1094,,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/210/13/2300,"""Sense, send, or process information""",Sense signals/environmental cues,Sense electricity/magnetism,"Navigate through air,Sense electricity/magnetism from the environment",
1095,,,,,"Journal of Experimental Biology (JEB),Integrative and Comparative Biology",https://jeb.biologists.org/content/210/13/2253,Protect from harm,Protect from non-living threats,Protect from loss of liquids,"Maintain homeostasis,Protect from loss of gases",https://www.newscientist.com/article/mg19426095-400-killifish-can-survive-without-oxygen-for-60-days/
1096,,,,,"Journal of Experimental Biology (JEB),Integrative and Comparative Biology",https://academic.oup.com/icb/article/56/4/500/2198431,,,,"Maintain homeostasis,Protect from loss of gases",https://www.newscientist.com/article/mg19426095-400-killifish-can-survive-without-oxygen-for-60-days/
1097,,,,,"Journal of Experimental Biology (JEB),The Hidden Powers of Animals: Uncovering the Secrets of Nature",https://jeb.biologists.org/content/210/13/2244,"""Sense, send, or process information""","Send signals,Sense signals/environmental cues","Send electrical/magnetic signals,Sense electricity/magnetism","Send electrical/magnetic signals,Sense electricity/magnetism from the environment",https://www.eurekalert.org/pub_releases/2018-06/uota-fuo_1061818.php
1098,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/210/13/2231,Maintain structural integrity,Prevent structural failure,Prevent fracture/rupture,Prevent fracture/rupture,
1099,,,,,"Journal of Experimental Biology (JEB),Journal of Mammalogy",https://jeb.biologists.org/content/209/5/938,"Process resources,Protect from harm","Distribute resources,Protect from non-living threats","Distribute gases,Protect from solids","Distribute gases,Protect from dirt/solids,Protect from loss of gases",
1100,,,,,"Journal of Experimental Biology (JEB),Journal of Mammalogy",https://academic.oup.com/jmammal/article/90/2/340/896936,"Process resources,Protect from harm","Distribute resources,Protect from non-living threats","Distribute gases,Protect from solids","Distribute gases,Protect from dirt/solids,Protect from loss of gases",
1101,,,,,"Journal of Experimental Biology (JEB),Science",https://jeb.biologists.org/content/209/4/748,"""Sense, send, or process information"",Change size or color","Send signals,Modify color","Send light signals in the visible spectrum,Change structural color","Modify light/color,Send light signals in the visible spectrum",
1102,,,,,"Journal of Experimental Biology (JEB),Science",https://pubmed.ncbi.nlm.nih.gov/16293753/,"""Sense, send, or process information"",Change size or color","Send signals,Modify color","Send light signals in the visible spectrum,Change structural color","Modify light/color,Send light signals in the visible spectrum",
1103,,,,,"Journal of Experimental Biology (JEB),Physiological and Biochemical Zoology",https://jeb.biologists.org/content/209/2/202,Protect from harm,Protect from non-living threats,Protect from loss of liquids,Protect from loss of liquids,
1104,,,,,"Journal of Experimental Biology (JEB),Physiological and Biochemical Zoology",https://jeb.biologists.org/content/206/20/3581,Protect from harm,Protect from non-living threats,Protect from loss of liquids,Protect from loss of liquids,
1105,,,,,"Journal of Experimental Biology (JEB),Physiological and Biochemical Zoology",https://www.journals.uchicago.edu/doi/10.1086/380213,Protect from harm,Protect from non-living threats,Protect from loss of liquids,Protect from loss of liquids,
1106,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/209/2/202,Protect from harm,Protect from non-living threats,Protect from loss of liquids,Protect from loss of liquids,http://connection.ebscohost.com/c/articles/4358986/fragile-world-frogs
1107,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/209/2/202,Protect from harm,"Protect from living threats,Protect from non-living threats","Protect from fungi,Protect from loss of liquids,Protect from microbes","Protect from fungi,Protect from loss of liquids,Protect from microbes",
1108,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/209/2/202,Protect from harm,Protect from non-living threats,Protect from loss of liquids,Protect from loss of liquids,
1109,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/208/23/4467,Protect from harm,Protect from non-living threats,Protect from temperature,"Modify phase,Protect from temperature",
1110,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/3/502,Protect from harm,Protect from non-living threats,Protect from temperature,"Modify phase,Protect from temperature",
1111,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/208/18/3609.abstract,Protect from harm,Protect from living threats,Protect from microbes,Protect from microbes,
1112,,,,,"The Design in Nature,Journal of Experimental Biology (JEB),Annual Review of Entomology",https://jeb.biologists.org/content/208/16/3075,Move,Active movement,Actively move through gases,Move in/through gases,
1113,,,,,"The Design in Nature,Journal of Experimental Biology (JEB),Annual Review of Entomology",https://www.annualreviews.org/doi/10.1146/annurev.en.37.010192.000553,Move,"Active movement,Passive movement","Actively move through gases,Passively move through gases",Move in/through gases,
1114,,,,,"Journal of Experimental Biology (JEB),Solar Energy Materials and Solar Cells",https://jeb.biologists.org/content/208/8/1469,Process resources,"Distribute resources,Store resources","Distribute energy,Store energy","Distribute energy,Store energy,""Capture, absorb, or filter energy""",
1115,,,,,"Journal of Experimental Biology (JEB),Solar Energy Materials and Solar Cells",https://www.sciencedirect.com/science/article/abs/pii/S0927024802004129?via%3Dihub,Process resources,"Distribute resources,Store resources","Distribute energy,Store energy","Distribute energy,Store energy,""Capture, absorb, or filter energy""",
1116,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/208/8/1445,Move,Active movement,Actively move through/on liquids,Move in/on liquids,
1117,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/208/8/1435,Move,Active movement,Actively move through/on liquids,Move in/on liquids,
1118,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/207/26/4633,Protect from harm,Protect from non-living threats,Protect from temperature,Protect from temperature,
1120,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/207/24/4249,"""Sense, send, or process information""",Sense signals/environmental cues,"Sense light in the non-visible spectrum,Sense light in the visible spectrum,Sense shape and/or pattern","Sense light (non-visible spectrum) from the environment,Sense light (visible spectrum) from the environment,Sense shape and pattern in a living system",https://jeb.biologists.org/content/213/2/i.2
1121,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/2/249,"""Sense, send, or process information""",Sense signals/environmental cues,"Sense light in the non-visible spectrum,Sense light in the visible spectrum,Sense shape and/or pattern","Sense light (non-visible spectrum) from the environment,Sense light (visible spectrum) from the environment,Sense shape and pattern in a living system",https://jeb.biologists.org/content/213/2/i.2
1122,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/207/18/3131,,,,"Maintain homeostasis,Protect from loss of gases",
1123,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/207/7/1127,Attach,Attach temporarily,,"Attach temporarily,Modify material characteristics",
1124,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/214/10/1699,Attach,Attach temporarily,,"Attach temporarily,Modify material characteristics",
1125,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/207/7/1063,Move,Active movement,Actively move through gases,Move in/through gases,
1126,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/206/23/4217,"Protect from harm,""Sense, send, or process information"",Chemically modify or Change energy state","Protect from non-living threats,Sense signals/environmental cues,Change energy state","Protect from temperature,Sense temperature cues,Modify/convert thermal energy","Protect from temperature,Sense temperature cues from the environment,Transform thermal energy",
1127,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/159/1/419,"Protect from harm,""Sense, send, or process information"",Chemically modify or Change energy state","Protect from non-living threats,Sense signals/environmental cues,Change energy state","Protect from temperature,Sense temperature cues,Modify/convert thermal energy","Protect from temperature,Sense temperature cues from the environment,Transform thermal energy",
1128,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/205/5/651,Protect from harm,Protect from non-living threats,Protect from chemicals,"Maintain homeostasis,Protect from chemicals",
1129,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/203/18/2757,"Move,Physically assemble/disassemble","Optimize shape/materials,Active movement",Actively move through/on solids,"Move in/on solids,Optimize shape/materials",
1130,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/202/23/3315,"Maintain structural integrity,Process resources","Manage structural forces,Store resources","Manage impact,Store energy","Manage impact,Store energy",
1131,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/202/23/3305,Maintain structural integrity,Prevent structural failure,"Prevent fracture/rupture,Manage stress/strain","Manage tension,Prevent fracture/rupture",
1132,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/202/20/2727.long,"""Sense, send, or process information""",Sense signals/environmental cues,Sense sound/vibrations,Sense sound and other vibrations from the environment,
1135,,,,,"Journal of Experimental Biology (JEB),American Zoologist,Archives of Physical Medicine and Rehabilitation,Collagen: Structure and Mechanics",https://jeb.biologists.org/content/201/11/1681.short,"Move,Process resources","Store resources,Passive movement","Store energy,Passively move through/on solids","Move in/on solids,Store energy",
1136,,,,,"Journal of Experimental Biology (JEB),American Zoologist,Archives of Physical Medicine and Rehabilitation,Collagen: Structure and Mechanics",https://academic.oup.com/icb/article/24/1/85/104479,"Move,Process resources","Store resources,Active movement","Store energy,Actively move through/on solids","Move in/on solids,Store energy",
1137,,,,,"Journal of Experimental Biology (JEB),American Zoologist,Archives of Physical Medicine and Rehabilitation,Collagen: Structure and Mechanics",https://jeb.biologists.org/content/198/9/1829,"Move,Process resources","Store resources,Active movement","Store energy,Actively move through/on solids","Move in/on solids,Store energy",
1138,,,,,"Journal of Experimental Biology (JEB),American Zoologist,Archives of Physical Medicine and Rehabilitation,Collagen: Structure and Mechanics",https://jeb.biologists.org/content/207/2/211,"Move,Process resources","Store resources,Active movement","Store energy,Actively move through/on solids","Move in/on solids,Store energy",
1139,,,,,"Journal of Experimental Biology (JEB),American Zoologist,Archives of Physical Medicine and Rehabilitation,Collagen: Structure and Mechanics",https://www.nature.com/articles/27111,"Move,Process resources","Store resources,Passive movement","Store energy,Passively move through/on solids","Move in/on solids,Store energy",
1140,,,,,"Journal of Experimental Biology (JEB),American Zoologist,Archives of Physical Medicine and Rehabilitation,Collagen: Structure and Mechanics",https://www.nature.com/articles/246313a0,"Move,Process resources","Store resources,Passive movement","Store energy,Passively move through/on solids","Move in/on solids,Store energy",
1141,,,,,"Journal of Experimental Biology (JEB),American Zoologist,Archives of Physical Medicine and Rehabilitation,Collagen: Structure and Mechanics",https://pubmed.ncbi.nlm.nih.gov/14668306/,"Move,Process resources","Store resources,Active movement","Store energy,Actively move through/on solids","Move in/on solids,Store energy",
1144,,,,,"The Design in Nature,Journal of Experimental Biology (JEB),Physics Today",https://jeb.biologists.org/content/200/3/557,Move,Active movement,Move through gases,Modify speed,
1145,,,,,"The Design in Nature,Journal of Experimental Biology (JEB),Physics Today",https://physicstoday.scitation.org/doi/full/10.1063/1.3001877,"Move,Maintain structural integrity","Active movement,Manage structural forces","Move through gases,Manage drag/turbulence",Modify speed,
1146,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/199/4/1005,"Attach,Maintain structural integrity","Attach permanently,Manage structural forces",Manage stress/strain,Manage tension,
