,index,DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
703,703,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/214/13/2175,,,"Store gases,""Capture, absorb, or filter gases""","Store gases,""Capture, absorb, or filter gases""",https://naturesraincoats.com/
704,704,,,,"Journal of Experimental Biology (JEB),International Review of Cell and Molecular Biology","https://jeb.biologists.org/content/214/12/2047
https://pubmed.ncbi.nlm.nih.gov/19215903/",,,Physically assemble structure,"Chemically assemble mineral crystals,Physically assemble structure",
705,705,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/214/6/915,,,"Expel liquids,Manage stress/strain,Manage impact,Protect from animals","Expel liquids,Manage compression,Manage impact,Protect from animals",
706,706,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/214/5/848,,,"Distribute liquids,Expel liquids,Protect from ice","Distribute liquids,Expel liquids,Protect from ice",
707,707,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/214/4/521,,,"Attach permanently,Move through/on solids,Move through gases,Store energy","Attach permanently,Move in/on solids,Move in/through gases,Store energy",
708,708,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/23/4092,,,Regulate reproduction or growth,"Chemically assemble mineral crystals,Regulate reproduction or growth",
709,709,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/22/3920,,,"Attach temporarily,Move through/on solids","Attach temporarily,Move in/on solids",
710,710,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/20/3457,,,Protect from solids,Protect from dirt/solids,
711,711,,,,"Journal of Experimental Biology (JEB),Biological Bulletin,Bioessays,Matrix Biology","https://jeb.biologists.org/content/213/20/3416
https://www.journals.uchicago.edu/doi/10.2307/1543095
https://pubmed.ncbi.nlm.nih.gov/10441082/
https://onlinelibrary.wiley.com/doi/abs/10.1002/bies.20597
https://www.sciencedirect.com/science/article/pii/S0945053X02000902?via%3Dihub",,,,Modify material characteristics,
712,712,,,,"Journal of Experimental Biology (JEB),Current Biology","https://jeb.biologists.org/content/213/19/3364
https://www.cell.com/current-biology/fulltext/S0960-9822(12)00011-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982212000115%3Fshowall%3Dtrue",,,"Sense light in the non-visible spectrum,Sense light in the visible spectrum","Sense light (non-visible spectrum) from the environment,Sense light (visible spectrum) from the environment",
713,713,,,,"Journal of Experimental Biology (JEB),The Hidden Powers of Animals: Uncovering the Secrets of Nature",https://jeb.biologists.org/content/213/17/2967,,,Move through/on liquids,Move in/on liquids,
714,714,,,,"Journal of Experimental Biology (JEB),PLOS One,2013 MTS/IEEE Oceans","https://jeb.biologists.org/content/213/15/2665
https://ieeexplore.ieee.org/document/6608113
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0069872",,,"Move through/on liquids,Move through gases","Move in/on liquids,Move in/through gases",
715,715,,,,JEB,https://jeb.biologists.org/content/213/10/1731,,,"Modify color,Send light signals in the visible spectrum","Modify light/color,Send light signals in the visible spectrum",
716,716,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/10/1697,,,,Adapt behaviors,
717,717,,,,"Journal of Experimental Biology (JEB),Tissue and Cell","https://jeb.biologists.org/content/213/8/1235
https://www.sciencedirect.com/science/article/abs/pii/004081669190043S?via%3Dihub",,,"Distribute solids,Protect from animals","Distribute solids,Protect from animals",
718,718,,,,"The Private Life of Plants,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/213/7/1115,,,"""Capture, absorb, or filter organisms""","""Capture, absorb, or filter organisms""",https://issuu.com/eggermont/docs/zq3/11?e=15278665/11095447
719,719,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,Journal of Experimental Biology (JEB),Scientific Reports","https://jeb.biologists.org/content/213/7/1092
https://jeb.biologists.org/content/213/8/1235
https://www.nature.com/articles/srep00131
https://jeb.biologists.org/content/217/8/1263",,,"Change size/shape,Optimize shape/materials,Protect from animals,""Capture, absorb, or filter liquids""","Modify size/shape/mass/volume,Optimize shape/materials,Protect from animals,""Capture, absorb, or filter liquids""",
720,720,,,,"Journal of Experimental Biology (JEB),American Journal of Physiology","https://jeb.biologists.org/content/213/5/683
https://journals.physiology.org/doi/full/10.1152/ajpregu.00047.2011",,,,"Maintain homeostasis,""Modify concentration (of ions, solutes, etc)""",
721,721,,,,"The grand design: Form and colour in animals,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/213/5/673,,,"Attach temporarily,Distribute liquids,""Capture, absorb, or filter organisms""","Attach temporarily,Distribute liquids,""Capture, absorb, or filter organisms""",
722,722,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/213/3/469,,,"Distribute energy,Move through gases","Distribute energy,Move in/through gases",https://issuu.com/eggermont/docs/zq_issue_10_final/8
723,723,,,,Journal of Experimental Biology (JEB),"https://jeb.biologists.org/content/213/2/339
https://jeb.biologists.org/content/210/4/553
https://jeb.biologists.org/content/214/17/2988",,,"Attach permanently,Manage impact","Attach permanently,Manage impact,Manage tension",
724,724,,,,"Journal of Experimental Biology (JEB),Endocrinology","https://jeb.biologists.org/content/213/2/288
https://academic.oup.com/endo/article/144/9/4087/2502519",,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
725,725,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/212/24/4010,,,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,
726,726,,,,"Journal of Experimental Biology (JEB),Science","https://jeb.biologists.org/content/212/24/4002
https://jeb.biologists.org/content/208/19/3655
https://science.sciencemag.org/content/289/5487/2114",,,"Protect from animals,Modify/convert mechanical energy,""Capture, absorb, or filter organisms""","Protect from animals,Transform mechanical energy,""Capture, absorb, or filter organisms""",
727,727,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/212/21/3448,,,Protect from temperature,Protect from temperature,https://passel2.unl.edu/view/lesson/c242ac4fbaaf
728,728,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/212/21/3440,,,,Maintain homeostasis,
729,729,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/212/21/3440,,,Manage stress/strain,Manage compression,
730,730,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/212/19/3184,,,"Attach permanently,""Capture, absorb, or filter organisms""","Attach permanently,""Capture, absorb, or filter organisms""",https://jeb.biologists.org/content/212/19/ii.2
731,731,,,,"Journal of Experimental Biology (JEB),Physical Review Letters,Mycologia","https://jeb.biologists.org/content/212/17/2835
https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.103.184501
https://pubmed.ncbi.nlm.nih.gov/16457355/",,,"Distribute solids,""Capture, absorb, or filter liquids""","Distribute solids,""Capture, absorb, or filter liquids""",
732,732,,,,"Journal of Experimental Biology (JEB),Zoology","https://jeb.biologists.org/content/212/13/1990
https://www.sciencedirect.com/science/article/abs/pii/S0944200609000282?via%3Dihub
https://jeb.biologists.org/content/212/13/1981",,,"Manage impact,Prevent fracture/rupture,Protect from excess liquids","Manage impact,Modify material characteristics,Prevent fracture/rupture,Protect from excess liquids",http://www.nbcnews.com/id/33794565/ns/technology_and_science-science/t/spider-silk-used-artificial-muscle/
733,733,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/212/3/429,,,Protect from temperature,Protect from temperature,
734,734,,,,"Journal of Experimental Biology (JEB),Nature,Journal of Phycology","https://jeb.biologists.org/content/211/21/3421
https://www.nature.com/articles/503345a
https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1529-8817.2010.00828.x",,,Manage shear,"Manage shear,Manage tension",
735,735,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/210/19/3319,,,"Manage stress/strain,Manage impact","Manage compression,Manage impact,Manage tension",
736,736,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/210/17/3075,,,"Modify color,Protect from animals","Modify light/color,Protect from animals",
737,737,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/210/15/2593,,,Move through gases,Move in/through gases,
738,738,,,,"Journal of Experimental Biology (JEB),Proceedings of the Royal Society B,Journal of Anatomy","https://jeb.biologists.org/content/210/14/2548
https://jeb.biologists.org/content/210/8/1378
https://royalsocietypublishing.org/doi/10.1098/rspb.2004.2702
https://onlinelibrary.wiley.com/doi/full/10.1111/j.1469-7580.2007.00762.x
",,,Move through/on solids,Move in/on solids,https://jeb.biologists.org/content/210/8/i.1
739,739,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/210/13/2300,,,Sense electricity/magnetism,"Navigate through air,Sense electricity/magnetism from the environment",
740,740,,,,"Journal of Experimental Biology (JEB),Integrative and Comparative Biology","https://jeb.biologists.org/content/210/13/2253
https://academic.oup.com/icb/article/56/4/500/2198431",,,,"Maintain homeostasis,Protect from loss of gases",https://www.newscientist.com/article/mg19426095-400-killifish-can-survive-without-oxygen-for-60-days/
741,741,,,,"Journal of Experimental Biology (JEB),The Hidden Powers of Animals: Uncovering the Secrets of Nature",https://jeb.biologists.org/content/210/13/2244,,,"Send electrical/magnetic signals,Sense electricity/magnetism","Send electrical/magnetic signals,Sense electricity/magnetism from the environment",https://www.eurekalert.org/pub_releases/2018-06/uota-fuo_1061818.php
742,742,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/210/13/2231,,,Prevent fracture/rupture,Prevent fracture/rupture,
743,743,,,,"Journal of Experimental Biology (JEB),Journal of Mammalogy","https://jeb.biologists.org/content/209/5/938
https://academic.oup.com/jmammal/article/90/2/340/896936",,,"Distribute gases,Protect from solids","Distribute gases,Protect from dirt/solids,Protect from loss of gases",
744,744,,,,"Journal of Experimental Biology (JEB),Science","https://jeb.biologists.org/content/209/4/748
https://pubmed.ncbi.nlm.nih.gov/16293753/",,,"Modify color,Send light signals in the visible spectrum","Modify light/color,Send light signals in the visible spectrum",
745,745,,,,"Journal of Experimental Biology (JEB),Physiological and Biochemical Zoology","https://jeb.biologists.org/content/209/2/202
https://jeb.biologists.org/content/206/20/3581
https://www.journals.uchicago.edu/doi/10.1086/380213",,,Protect from loss of liquids,Protect from loss of liquids,
746,746,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/209/2/202,,,Protect from loss of liquids,Protect from loss of liquids,http://connection.ebscohost.com/c/articles/4358986/fragile-world-frogs
747,747,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/209/2/202,,,"Protect from fungi,Protect from loss of liquids,Protect from microbes","Protect from fungi,Protect from loss of liquids,Protect from microbes",
748,748,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/209/2/202,,,Protect from loss of liquids,Protect from loss of liquids,
749,749,,,,Journal of Experimental Biology (JEB),"https://jeb.biologists.org/content/208/23/4467
https://jeb.biologists.org/content/213/3/502",,,Protect from temperature,"Modify phase,Protect from temperature",
750,750,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/208/18/3609.abstract,,,Protect from microbes,Protect from microbes,
751,751,,,,"The Design in Nature,Journal of Experimental Biology (JEB),Annual Review of Entomology","https://jeb.biologists.org/content/208/16/3075
https://www.annualreviews.org/doi/10.1146/annurev.en.37.010192.000553",,,Move through gases,Move in/through gases,
752,752,,,,"Journal of Experimental Biology (JEB),Solar Energy Materials and Solar Cells","https://jeb.biologists.org/content/208/8/1469
https://www.sciencedirect.com/science/article/abs/pii/S0927024802004129?via%3Dihub",,,"Distribute energy,Store energy,""Capture, absorb, or filter energy""","Distribute energy,Store energy,""Capture, absorb, or filter energy""",
753,753,,,,"The grand design: Form and colour in animals,Journal of Experimental Biology (JEB)","https://jeb.biologists.org/content/208/8/1445
https://jeb.biologists.org/content/208/8/1435",,,Move through/on liquids,Move in/on liquids,
754,754,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/207/26/4633,,,Protect from temperature,Protect from temperature,
755,755,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/207/24/4283,,,Sense chemicals,"""Sense chemicals (odor, taste, etc.) from the environment""",
756,756,,,,Journal of Experimental Biology (JEB),"https://jeb.biologists.org/content/207/24/4249
https://jeb.biologists.org/content/213/2/249",,,"Sense light in the non-visible spectrum,Sense light in the visible spectrum,Sense shape and/or pattern","Sense light (non-visible spectrum) from the environment,Sense light (visible spectrum) from the environment,Sense shape and pattern in a living system",https://jeb.biologists.org/content/213/2/i.2
757,757,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/207/18/3131,,,,"Maintain homeostasis,Protect from loss of gases",
758,758,,,,"Courtesy of the Biomimicry Guild,Journal of Experimental Biology (JEB)","https://jeb.biologists.org/content/207/7/1127
https://jeb.biologists.org/content/214/10/1699",,,Attach temporarily,"Attach temporarily,Modify material characteristics",
759,759,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/207/7/1063,,,Move through gases,Move in/through gases,
760,760,,,,Journal of Experimental Biology (JEB),"https://jeb.biologists.org/content/206/23/4217
https://jeb.biologists.org/content/159/1/419
",,,"Protect from temperature,Sense temperature cues,Modify/convert thermal energy","Protect from temperature,Sense temperature cues from the environment,Transform thermal energy",
761,761,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/205/5/651,,,Protect from chemicals,"Maintain homeostasis,Protect from chemicals",
762,762,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/203/18/2757,,,"Move through/on solids,Optimize shape/materials","Move in/on solids,Optimize shape/materials",
763,763,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/202/23/3315,,,"Manage impact,Store energy","Manage impact,Store energy",
764,764,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/202/23/3305,,,Prevent fracture/rupture,"Manage tension,Prevent fracture/rupture",
765,765,,,,"The grand design: Form and colour in animals,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/202/20/2727.long,,,Sense sound/vibrations,Sense sound and other vibrations from the environment,
766,766,,,,"Journal of Experimental Biology (JEB),Journal of Cell Science","https://jeb.biologists.org/content/202/3/301
https://pubmed.ncbi.nlm.nih.gov/12082143/",,,Chemically assemble organic compounds,"Chemically assemble organic compounds,""Modify solubility (dissolving, emulsifying, precipitating, crystallizing)""",
767,767,,,,"Journal of Experimental Biology (JEB),American Zoologist,Archives of Physical Medicine and Rehabilitation,Collagen: Structure and Mechanics","https://jeb.biologists.org/content/201/11/1681.short
https://academic.oup.com/icb/article/24/1/85/104479
https://jeb.biologists.org/content/198/9/1829
https://jeb.biologists.org/content/207/2/211
https://www.nature.com/articles/27111
https://www.nature.com/articles/246313a0
https://pubmed.ncbi.nlm.nih.gov/14668306/",,,"Move through/on solids,Store energy","Move in/on solids,Store energy",
768,768,,,,"Journal of Experimental Biology (JEB),Parasitology","https://jeb.biologists.org/content/200/10/1491
https://www.cambridge.org/core/journals/parasitology/article/tick-salivary-glands-function-physiology-and-future/A341322748067499E5AE192BC5D4BFC6",,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
769,769,,,,"The Design in Nature,Journal of Experimental Biology (JEB),Physics Today","https://jeb.biologists.org/content/200/3/557
https://physicstoday.scitation.org/doi/full/10.1063/1.3001877",,,,Modify speed,
770,770,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/199/4/1005,,,,Manage tension,
771,771,,,,"Journal of Experimental Biology (JEB),Limnology and Oceanography,The Biological Bulletin","https://jeb.biologists.org/content/194/1/263.short
https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.2003.48.2.0795
https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.2006.51.3.1485
https://www.journals.uchicago.edu/doi/10.2307/1543529",,,"Attach temporarily,Distribute solids,Expel solids,Regulate reproduction or growth","Attach temporarily,Distribute solids,Expel solids,Modify material characteristics,Regulate reproduction or growth",
772,772,,,,"Comparative Biomechanics: Life's Physical World,Fluid Dynamics in Biology,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/193/1/233,,,"Move through/on liquids,Optimize shape/materials,Physically assemble structure,""Capture, absorb, or filter solids""","Adapt behaviors,Move in/on liquids,Optimize shape/materials,Physically assemble structure,""Capture, absorb, or filter solids""",
773,773,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/192/1/45,,,Move through/on liquids,Move in/on liquids,
774,774,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB),Science","https://jeb.biologists.org/content/163/1/1.short
https://science.sciencemag.org/content/346/6206/224",,,Move through/on solids,Move in/on solids,
775,775,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/159/1/165,,,"Change size/shape,Move through/on liquids,""Capture, absorb, or filter organisms""","Modify position,Modify size/shape/mass/volume,Move in/on liquids,""Capture, absorb, or filter organisms""",
776,776,,,,"Journal of Experimental Biology (JEB),The grand design: Form and colour in animals,Comparative Biomechanics: Life's Physical World",https://jeb.biologists.org/content/152/1/243.short,,,"Send sound signals,Move through/on solids,Attach temporarily","Send sound signals,Move in/on solids,Attach temporarily",
777,777,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/152/1/41,,,"Protect from animals,Respond to signals,Sense sound/vibrations","Navigate through air,Protect from animals,Respond to signals,Sense sound and other vibrations from the environment",
778,778,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/134/1/313,,,Move through/on liquids,Move in/on liquids,
779,779,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/113/1/447.abstract,,,"Protect from loss of liquids,""Capture, absorb, or filter liquids""","Protect from loss of liquids,""Capture, absorb, or filter liquids""",
780,780,,,,"Journal of Experimental Biology (JEB),Comparative Biomechanics: Life's Physical World",https://jeb.biologists.org/content/88/1/1,,,"Move through/on liquids,Modify/convert mechanical energy,""Capture, absorb, or filter organisms""","Move in/on liquids,Transform mechanical energy,""Capture, absorb, or filter organisms""",
781,781,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/69/1/127,,,"""Capture, absorb, or filter organisms""","Modify position,""Capture, absorb, or filter organisms""",
782,782,,,,"The Biology of Mangroves and Seagrasses,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/38/3/659,,,,Maintain homeostasis,
783,783,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/31/4/491,,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
784,784,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/21/3-4/97,,,"Protect from excess liquids,Protect from loss of liquids","Modify material characteristics,Protect from excess liquids,Protect from loss of liquids",
785,785,,,,"The Biology of Freshwater Wetlands (Biology of Habitats),Journal of Clinical Microbiology",https://jcm.asm.org/content/37/9/3082.long,,,Protect from excess liquids,Protect from excess liquids,
786,786,,,,"Journal of Bacteriology,Nature Reviews Microbiology","https://jb.asm.org/content/188/1/202
https://www.nature.com/articles/nrmicro2166",,,"Catalyze chemical breakdown,Chemically break down organic compounds,Compete within/between species","Catalyze chemical breakdown,Chemically break down organic compounds,Cooperate/compete between different species,Modify chemical potential",
787,787,,,,"Archives of Internal Medicine,Applied and Environmental Microbiology","https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/617889
https://aem.asm.org/content/aem/54/7/1678.full.pdf",,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
788,788,,,,"Water Science and Technology,Reviews in Environmental Science & Biotechnology","https://iwaponline.com/wst/article/53/11/163/13832/Microbial-conversion-of-selected-azo-dyes-and
https://link.springer.com/article/10.1007/s11157-006-9118-8",,,Chemically break down organic compounds,Chemically break down organic compounds,
789,789,,,,Bioinspiration & Biomimetics,https://iopscience.iop.org/article/10.1088/1748-3182/6/4/046005,,,"Attach temporarily,Move through/on solids","Attach temporarily,Move in/on solids",
790,790,,,,"Bioinspiration & Biomimetics,PLOS One","https://iopscience.iop.org/article/10.1088/1748-3182/6/1/016003
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0026490",,,"Manage impact,Optimize shape/materials","Manage impact,Optimize shape/materials",
791,791,,,,"Bioinspiration & Biomimetics,PLOS One","https://iopscience.iop.org/article/10.1088/1748-3182/6/1/016003
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0026490",,,Manage impact,Manage impact,
792,792,,,,"Bioinspiration & Biomimetics,Comparative Biomechanics: Life's Physical World",https://iopscience.iop.org/article/10.1088/1748-3182/2/4/S01,,,"Attach temporarily,Manage shear","Attach temporarily,Manage shear",
793,793,,,,"Bioinspiration & Biomimetics,Science,Journal of Fluid Mechanics,Journal of Experimental Biology (JEB)","https://iopscience.iop.org/article/10.1088/1748-3182/2/3/L01
https://science.sciencemag.org/content/302/5650/1566
https://iopscience.iop.org/article/10.1088/1748-3182/5/3/035005
https://www.cambridge.org/core/journals/journal-of-fluid-mechanics/article/passive-propulsion-in-vortex-wakes/A431EC18AAEDA78CC6572FB62A249005
https://jeb.biologists.org/content/206/6/1059",,,Move through/on liquids,"Modify position,Move in/on liquids",
794,794,,,,American Journal of Nanotechnology,https://iopscience.iop.org/article/10.1088/0957-4484/13/5/201,,,Distribute gases,Distribute gases,
795,795,,,,"Courtesy of the Biomimicry Guild,Journal of Physics: Condensed Matter,Langmuir","https://iopscience.iop.org/article/10.1088/0953-8984/17/9/021
https://pubs.acs.org/doi/10.1021/la903813g",,,Protect from excess liquids,Protect from excess liquids,https://naturesraincoats.com/
796,796,,,,Journal of Physics D: Applied Physics,https://iopscience.iop.org/article/10.1088/0022-3727/40/7/050/meta,,,Modify color,Modify light/color,https://www.newscientist.com/article/dn11557-beetles-beauty-lies-in-imperfection/
797,797,,,,"IEEE/CPMT/SEMI 28th International Electronics Manufacturing Technology,Journal of Experimental Biology (JEB)","https://ieeexplore.ieee.org/document/1225901
https://pubmed.ncbi.nlm.nih.gov/9914146/
https://pubmed.ncbi.nlm.nih.gov/9202450/",,,Prevent fracture/rupture,Prevent fracture/rupture,
798,798,,,,Nephrology Nursing Journal,https://europepmc.org/article/med/12736997,,,"""Capture, absorb, or filter chemical entities""","""Capture, absorb, or filter chemical entities"",""Modify concentration (of ions, solutes, etc)""",
799,799,,,,"Work of Nature: How the Diversity of Life Sustains Us,Ecology",https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1939003,,,"Maintain biodiversity,Manage environmental disturbances","Cooperate within an ecosystem,Disperse seeds,Maintain biodiversity,Manage disturbance in a community",
800,800,,,,"The Biology of Streams and Rivers (Biology of Habitats Series),Ecology",https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1938063,,,Manage environmental disturbances,Manage disturbance in a community,
801,801,,,,"Work of Nature: How the Diversity of Life Sustains Us,Ecology",https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1936830,,,,Store chemical entities,
802,802,,,,"The Biology of Freshwater Wetlands (Biology of Habitats),Ecology",https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1936377,,,"Maintain biodiversity,Manage environmental disturbances,Protect from excess liquids","Disperse seeds,Generate soil/renew fertility,Maintain biodiversity,Manage disturbance in a community,Protect from excess liquids",
803,803,,,,"Ecology,The Journal of Ecology","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9658%282001%29082%5B1720%3AESOALV%5D2.0.CO%3B2
https://www.jstor.org/stable/2260070?origin=crossref&seq=1",,,"Distribute liquids,Move through/on liquids,Move through/on solids,Move through gases,Sense atmospheric conditions,""Capture, absorb, or filter liquids""","Distribute liquids,Move in/on liquids,Move in/on solids,Move in/through gases,Sensing atmospheric conditions,""Capture, absorb, or filter liquids""",
804,804,,,,Ecological Monographs,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/09-1988.1,,,"""Capture, absorb, or filter liquids"",""Capture, absorb, or filter chemical entities""","""Capture, absorb, or filter liquids"",""Capture, absorb, or filter chemical entities""",
805,805,,,,Ecology,https://esajournals.onlinelibrary.wiley.com/doi/10.1890/08-1858.1,,,"Attach temporarily,Cooperate within/between species","Attach temporarily,Cooperate within the same species",https://www.uni-bonn.de/Press-releases/02-2002
806,806,,,,Electroreception and Communication in Fishes,https://epub.uni-regensburg.de/2108/,,,Modify/convert electrical energy,Transform electrical energy,
807,807,,,,Eukaryotic Cell,https://ec.asm.org/content/6/8/1251,,,"""Capture, absorb, or filter chemical entities""","Regulate atmospheric chemical/gas composition,""Capture, absorb, or filter chemical entities""",
808,808,,,,Animal Behaviour,"https://dx.doi.org/10.1016/j.anbehav.2009.11.035
https://jeb.biologists.org/content/221/24/jeb192492
https://royalsocietypublishing.org/doi/full/10.1098/rsif.2015.1022",,,"Cooperate within/between species,Coordinate by self-organization,Distribute liquids,Distribute solids,Manage environmental disturbances","Cooperate within the same species,Coordinate by self-organization,Distribute liquids,Distribute solids,Manage disturbance in a community",
809,809,,,,The Grand Design: Form and Colour in Animals,https://doi.org/10.1111/jav.01294,,,Protect from temperature,Protect from temperature,
810,810,,,,"Journal of Experimental Botany,Ecology,Frontiers in Plant Science","https://doi.org/10.1093/jxb/erm009
https://www.researchgate.net/profile/Jason_Hoeksema/publication/46254430_Mycorrhizal_networks_counteract_competitive_effects_of_canopy_trees_on_seedling_survival/links/5a0a0c2645851551b78d2c85/Mycorrhizal-networks-counteract-competitive-effects-of-canopy-trees-on-seedling-survival.pdf
https://doi.org/10.3389/fpls.2020.00302",,,"Distribute liquids,Move through/on solids,Compete within/between species,Cooperate within/between species","Distribute liquids,Move in/on solids,Cooperate/compete between different species,Cooperate within the same species",
811,811,,,,"Encyclopedia of Biodiversity,Volume 3",https://csme.utah.edu/wp-content/uploads/2013/02/Forest_Canopies_Plant_Diversity_Encyclopedia_of_Biodiversity_20011.pdf,,,"Maintain biodiversity,Compete within/between species,Manage environmental disturbances","Maintain biodiversity,Regulate climate,Cooperate/compete between different species,Manage disturbance in a community",
812,812,,,,ChemMedChem,https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cmdc.201100252,,,Protect from fungi,Protect from fungi,https://rh.gatech.edu/news/64407/compounds-tropical-seaweed-may-be-promising-anti-malarial-drugs
813,813,,,,Chemistry: A European Journal,https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.19950010705,,,,Chemically assemble mineral crystals,
814,814,,,,"American Journal of Botany,Functional Ecology,New Zealand Journal of Botany,The Private Life of Plants","https://bsapubs.onlinelibrary.wiley.com/journal/15372197
https://deepblue.lib.umich.edu/handle/2027.42/75735
https://www.tandfonline.com/doi/abs/10.1080/0028825X.1997.10410160",,,"Expel solids,Sense touch and mechanical forces,Modify/convert mechanical energy","Disperse seeds,Expel solids,Pollinate,Sense touch and mechanical forces in a living system,Transform mechanical energy",
815,815,,,,"Biomimetics: Biologically Inspired Technologies,American Journal of Botany",https://bsapubs.onlinelibrary.wiley.com/doi/full/10.3732/ajb.1000286,,,Protect from loss of liquids,"Modify position,Protect from loss of liquids",
816,816,,,,American Journal of Botany,https://bsapubs.onlinelibrary.wiley.com/doi/full/10.3732/ajb.1000261,,,"Cooperate within/between species,Distribute liquids,""Capture, absorb, or filter liquids""","Cooperate within the same species,Distribute liquids,""Capture, absorb, or filter liquids""",
817,817,,,,American Journal of Botany,https://bsapubs.onlinelibrary.wiley.com/doi/full/10.3732/ajb.0900285,,,Protect from loss of liquids,Protect from loss of liquids,
