DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
,,,Biophysical Journal,https://www.cell.com/biophysj/fulltext/S0006-3495(09)02408-4,,,"""Capture, absorb, or filter organisms""","Regulate cellular processes,""Capture, absorb, or filter organisms""",https://www.sciencedaily.com/releases/2010/02/100216163341.htm
,,,"Seed Science Research,Science","https://www.cambridge.org/core/journals/seed-science-research/article/sacred-lotus-the-longliving-fruits-of-china-antique/950DD5CB3E32BA6D99A79CAB5D75B038
https://science.sciencemag.org/content/291/5510/1884",,,"Manage wear,Protect from excess liquids,Protect from fungi,Protect from gases,Protect from light,Protect from temperature","Manage mechanical wear,Protect from excess liquids,Protect from fungi,Protect from gases,Protect from light,Protect from temperature",
,,,Quarterly Review of Biophysics,https://www.cambridge.org/core/journals/quarterly-reviews-of-biophysics/article/chaperoninmediated-protein-folding-fate-of-substrate-polypeptide/19AB3F18F349DA2D1E94A99F23CCA18D,,,Change size/shape,"Modify size/shape/mass/volume,Regulate cellular processes",
,,,"The Biology of Freshwater Wetlands (Biology of Habitats),Journal of Tropical Ecology",https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/moundbuilding-termite-macrotermes-michaelseni-as-an-ecosystem-engineer/D44E0079BFF2661218B93083F070B562,,,"Control erosion,Maintain biodiversity,Manage environmental disturbances","Control erosion and sediment,Cycle nutrients,Maintain biodiversity,Manage disturbance in a community",
,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,""Form, Structure, and Function of Shell and Siphuncle in Coiled Mesozoic Ammonoids"",Journal of the Marine Biological Association of the United Kingdom",https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/on-the-buoyancy-of-the-pearly-nautilus/A99EBD0AE3B8478F7437C6FE5BD398AE,,,"Move through/on liquids,Move through gases","Modify buoyancy,Move in/on liquids,Move in/through gases",
,,,Journal of Marine Biological Association of the United Kingdom,https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/bioluminescence-in-the-benthopelagic-holothurian-enypniastes-eximia/2F72BF0FE0787ADD9636CEAEC2D4D3AF,,,"Protect from animals,Send light signals in the visible spectrum,Sense touch and mechanical forces,Modify/convert light energy","Protect from animals,Send light signals in the visible spectrum,Sense touch and mechanical forces in a living system,Transform radiant energy (light)",https://www.scientificamerican.com/slideshow/bioluminescent-avatar/
,,,Journal of Materials Research,https://www.cambridge.org/core/journals/journal-of-materials-research/article/platelet-interlocks-are-the-key-to-toughness-and-strength-in-nacre/74323E967B18BF539E91008B98C5A5DC,,,"Manage stress/strain,Manage impact,Physically assemble structure","Manage compression,Manage impact,Manage tension,Physically assemble structure",
,,,"International Journal of Astrobiology,Journal of Experimental Biology (JEB)","https://www.cambridge.org/core/journals/international-journal-of-astrobiology/article/adaptations-to-environmental-extremes-by-multicellular-organisms/788142428590F0D32F24F139CA20B9B4
https://jeb.biologists.org/content/55/2/385.article-info",,,"Protect from light,Protect from loss of liquids,Protect from temperature","Protect from light,Protect from loss of liquids,Protect from temperature",
,,,"Beilstein Journal of Nanotechnology,Journal of Biomechanics,Journal of Comparative Physiology A,PNAS,Scientific Reports","https://www.beilstein-journals.org/bjnano/articles/5/8
https://www.sciencedirect.com/science/article/abs/pii/S0021929099000135?via%3Dihub
https://link.springer.com/article/10.1007%2Fs00359-008-0408-1
https://www.pnas.org/content/106/25/10081
https://www.nature.com/articles/srep23539
",,,Move through/on solids,Move in/on solids,
,,,"Apidologie,""The Bees of the World, Second Edition""",https://www.apidologie.org/articles/apido/abs/1992/05/Apidologie_0044-8435_1992_23_5_ART0005/Apidologie_0044-8435_1992_23_5_ART0005.html,,,Attach temporarily,Attach temporarily,
,,,Annual Review of Microbiology,https://www.annualreviews.org/doi/abs/10.1146/annurev.micro.60.080805.142053?journalCode=micro,,,,Modify oxidation state,
,,,"Annual Review of Microbiology,Micron","https://www.annualreviews.org/doi/abs/10.1146/annurev.micro.55.1.625?journalCode=micro
https://pubmed.ncbi.nlm.nih.gov/17875392/",,,,"Chemically assemble polymers,Modify surface tension,""Modify solubility (dissolving, emulsifying, precipitating, crystallizing)""",
,,,"Annual Review of Microbiology,Journal of the Royal Society Interface","https://www.annualreviews.org/doi/abs/10.1146/annurev.micro.51.1.527
https://royalsocietypublishing.org/doi/full/10.1098/rsif.2009.0203",,,Coordinate activities,Coordinate activities,
,,,"Annual Review of Immunology,Journal of Cell Science","https://www.annualreviews.org/doi/10.1146/annurev.immunol.17.1.593
https://jcs.biologists.org/content/114/6/1061.short",,,"""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids"",""Capture, absorb, or filter chemical entities""","""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids"",""Capture, absorb, or filter chemical entities""",
,,,Annual Review of Entomology,https://www.annualreviews.org/doi/10.1146/annurev.ento.42.1.587,,,Regulate reproduction or growth,Regulate reproduction or growth,
,,,"Annual Review of Entomology,Dragonflies: Q&A Guide: Fascinating Facts About Their Life in the Wild",https://www.annualreviews.org/doi/10.1146/annurev.en.37.010192.000553,,,"Distribute liquids,Modify/convert mechanical energy","Distribute liquids,Transform mechanical energy",
,,,Annual Review of Biophysics,https://www.annualreviews.org/doi/10.1146/annurev.biophys.37.032807.125804,,,"Attach temporarily,Manage shear","Attach temporarily,Manage shear,Manage tension",
,,,"Annual Review of Biochemistry,Science,Molecular Membrane Biology,Quarterly Review of Biophysics","https://www.annualreviews.org/doi/10.1146/annurev.biochem.68.1.425
https://science.sciencemag.org/content/296/5567/525
https://www.tandfonline.com/doi/full/10.1080/09687680701446965
https://www.cambridge.org/core/journals/quarterly-reviews-of-biophysics/article/structure-of-aquaporins/788561FC2192389FEA4651DCA72360B4",,,"Distribute liquids,""Capture, absorb, or filter chemical entities"",""Capture, absorb, or filter liquids""","Distribute liquids,""Capture, absorb, or filter chemical entities"",""Capture, absorb, or filter liquids""",
,,,"Annual Review of Entomology,Zoomorphology,The grand design: Form and colour in animals","https://www.annualreviews.org/doi/10.1146/annurev-ento-112408-085338
https://link.springer.com/article/10.1007%2FBF01632816",,,"Attach temporarily,Prevent deformation","Attach temporarily,Prevent deformation",
,,,"Annual Review of Biochemistry,PNAS","https://www.annualreviews.org/doi/10.1146/annurev-biochem-062608-103436
https://www.pnas.org/content/102/39/13855",,,"Chemically break down inorganic compounds,Protect from animals,Protect from chemicals","Chemically break down inorganic compounds,Protect from animals,Protect from chemicals",
,,,Reviews in Environmental Science & Biotechnology,https://web.a.ebscohost.com/abstract?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=15691705&asa=Y&AN=26368786&h=sL1ulPZP3aO%2f4YDENSfYt%2fIaBmLJHv4%2fJhUQ7%2fC1BIu5MrGTIMJwx9CYogqyl6tcH5atqKlRraSD4T5fdWSSwQ%3d%3d&crl=c&resultNs=AdminWebAuth&resultLocal=ErrCrlNotAuth&crlhashurl=login.aspx%3fdirect%3dtrue%26profile%3dehost%26scope%3dsite%26authtype%3dcrawler%26jrnl%3d15691705%26asa%3dY%26AN%3d26368786,,,Chemically break down organic compounds,Chemically break down organic compounds,
,,,"American Journal of Nanotechnology,Journal of Experimental Biology (JEB),Natural History","https://thescipub.com/abstract/10.3844/ajnsp.2011.112.121
https://pubmed.ncbi.nlm.nih.gov/945321/
http://connection.ebscohost.com/c/articles/9008131036/antifreeze-bees",,,Protect from temperature,"Maintain homeostasis,Protect from temperature",
,,,Science Signaling,https://stke.sciencemag.org/content/1/17/pe17,,,"Manage stress/strain,Manage impact,Manage shear,Prevent fracture/rupture","Manage compression,Manage impact,Manage shear,Manage tension,Prevent fracture/rupture",
,,,Environmental Microbiology,https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1462-2920.2009.01948.x,,,"Catalyze chemical breakdown,Chemically break down inorganic compounds,Chemically break down organic compounds","Attach a functional group,Catalyze chemical breakdown,Chemically break down inorganic compounds,Chemically break down organic compounds",
,,,Environmental Microbiology,https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1462-2920.2007.01301.x,,,Protect from temperature,Protect from temperature,
,,,Environmental Microbiology,https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1462-2920.2007.01301.x,,,Attach permanently,Attach permanently,
,,,Environmental Microbiology,https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1462-2920.2007.01301.x,,,"Protect from fungi,Protect from microbes","Protect from fungi,Protect from microbes",
,,,Journal of Applied Microbiology,https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2672.2009.04554.x,,,"Coordinate activities,Sense chemicals,Send chemical signals","Coordinate activities,""Sense chemicals (odor, taste, etc.) from the environment"",""Send chemical signals (odor, taste, etc.)""",https://discovere.binghamton.edu/news/rickard-2574.html
,,,Science,https://science.sciencemag.org/content/349/6243/aaa6683,,,"Manage impact,Prevent deformation,Prevent fracture/rupture","Manage impact,Prevent deformation,Prevent fracture/rupture",https://www.smithsonianmag.com/science-nature/why-seahorses-have-square-tails-180955802/
,,,Science,https://science.sciencemag.org/content/348/6241/1358,,,Coordinate by self-organization,Coordinate by self-organization,https://www.nytimes.com/2020/03/02/science/animals-voting-elections.html
,,,Science,https://science.sciencemag.org/content/337/6098/1087,,,Physically assemble structure,Physically assemble structure,https://wyss.harvard.edu/news/uncoiling-the-cucumbers-enigma/
,,,Science,https://science.sciencemag.org/content/334/6063/1720,,,,Modify material characteristics,
,,,Science,https://science.sciencemag.org/content/333/6038/52,,,"Manage wear,Move through/on solids","Manage mechanical wear,Move in/on solids",https://www.kit.edu/kit/english/pi_2011_7536.php
,,,Science,https://science.sciencemag.org/content/332/6033/1097,,,"Compete within/between species,Control of populations/pests/diseases","Cooperate within an ecosystem,Cooperate/compete between different species,""Biological control of populations, pests, diseases""",https://newscenter.lbl.gov/2011/05/05/community-soil-microbes/
,,,Science,https://science.sciencemag.org/content/330/6008/1231,,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
,,,Science,https://science.sciencemag.org/content/330/6005/816,,,"Chemically break down organic compounds,""Capture, absorb, or filter chemical entities"",Detox/purify","Chemically break down organic compounds,""Capture, absorb, or filter chemical entities"",Detoxification/purification of air/water/waste,Regulate climate,Regulate atmospheric chemical/gas composition",https://www.sciencemag.org/news/2010/10/tree-leaves-fight-pollution
,,,Science,https://science.sciencemag.org/content/329/5991/559,,,"Chemically assemble organic compounds,Modify/convert chemical energy","Chemically assemble organic compounds,Transform chemical energy",
,,,"Science,Luminescence","https://science.sciencemag.org/content/328/5979/704
https://onlinelibrary.wiley.com/doi/abs/10.1002/bio.715",,,Protect from light,Protect from light,
,,,Science,https://science.sciencemag.org/content/327/5966/701,,,,Navigate through air,https://www.sciencedaily.com/releases/2010/02/100204204319.htm
,,,Science,https://science.sciencemag.org/content/327/5966/689,,,"Optimize shape/materials,Physically assemble structure","Optimize shape/materials,Physically assemble structure",
,,,Science,https://science.sciencemag.org/content/326/5956/1120,,,"""Capture, absorb, or filter chemical entities""","""Capture, absorb, or filter chemical entities""","https://schaechter.asmblog.org/schaechter/2010/01/lea.html
https://www.sciencemag.org/news/2009/11/ants-eat-well-thanks-bacteria"
,,,Science,https://science.sciencemag.org/content/326/5950/289,,,"Change size/shape,Optimize shape/materials,Physically assemble structure","Modify size/shape/mass/volume,Optimize shape/materials,Physically assemble structure",https://www.eurekalert.org/pub_releases/2009-10/hu-sdt100209.php
,,,Science,"https://science.sciencemag.org/content/325/5946/1388
https://science.sciencemag.org/content/325/5946/1351",,,Physically assemble structure,"Chemically assemble mineral crystals,Physically assemble structure",
,,,Science,https://science.sciencemag.org/content/325/5943/964,,,"Protect from animals,Send light signals in the visible spectrum,Modify/convert light energy","Protect from animals,Send light signals in the visible spectrum,Transform radiant energy (light)",
,,,Science,https://science.sciencemag.org/content/325/5939/468,,,Distribute energy,"Distribute energy,Maintain homeostasis",
,,,Science,https://science.sciencemag.org/content/322/5899/275,,,Chemically assemble organic compounds,Chemically assemble organic compounds,
,,,Science,https://science.sciencemag.org/content/320/5878/931.abstract?sid=1fc18835-728e-445d-bf7a-7ae5560c59f2,,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Science",https://science.sciencemag.org/content/318/5852/904,,,Sense electricity/magnetism,Sense electricity/magnetism from the environment,
,,,Science,https://science.sciencemag.org/content/317/5844/1563.long,,,,Modify oxidation state,
,,,Science,https://science.sciencemag.org/content/317/5844/1561?etoc=,,,"Cooperate within/between species,Compete within/between species,Maintain biodiversity","Cooperate within the same species,Cooperate/compete between different species,Maintain biodiversity",
